id,severity,category,route_or_component,file_path,finding,evidence,user_impact,business_impact,recommended_fix,complexity,status
UX-213,P2,Accessibility,keyboard-shortcuts.tsx,"apps/web/components/shared/keyboard-shortcuts.tsx","No aria-live on filtered results","No live region announces how many shortcuts match search","Screen readers don't know results changed after filter","Reduced accessibility of search within shortcuts","Add aria-live=polite for count announcement",XS,Open
UX-214,P2,Accessibility,All error boundaries,"apps/web/app/error.tsx, (workspace)/error.tsx, shared/error-boundary.tsx","Error states lack role=alert","No role=alert or aria-live on error containers","Screen readers don't announce errors","Reduced error accessibility for blind users","Add role=alert + aria-live=assertive to all error state containers",XS,Open
UX-215,P2,Accessibility,All loading states,"All loading.tsx files","Loading states lack aria-busy=true — no role=status","No aria-busy on skeleton/spinner containers","Screen readers can't distinguish loading from finished","Reduced perceived performance for assistive tech users","Add aria-busy=true + role=status to all loading containers",XS,Open
UX-216,P2,State Design,"app/loading.tsx, (auth)/loading.tsx","apps/web/app/loading.tsx, apps/web/app/(auth)/loading.tsx","Bare spinner instead of layout-aware skeleton","Just a circular spinner — no page structure","Users see empty animation with no context about what's loading","Poor perceived performance on initial load","Replace with lightweight skeleton matching page layout structure",S,Open
UX-217,P2,Responsive,(workspace)/loading.tsx,"apps/web/app/(workspace)/loading.tsx","Sidebar skeleton shown unconditionally on mobile","Loading layout includes w-60 sidebar that appears on all screens","Mobile users see desktop sidebar briefly before layout renders","Confusing initial render on phones","Add hidden md:flex to sidebar skeleton on mobile",XS,Open
UX-218,P2,Accessibility,onboarding-tour.tsx,"apps/web/components/workspace/onboarding-tour.tsx","No role=dialog, no focus trap, no progressbar role","Root div has no role; progress div has no ARIA; Tab can escape","Screen readers don't recognize onboarding as a distinct region","Reduced onboarding accessibility","Add role=dialog + aria-modal=true + focus trap + role=progressbar",S,Open
UX-219,P2,Accessibility,cookie-banner.tsx,"apps/web/components/cookie-banner.tsx","No focus trap, no aria-modal=true","Tab can cycle behind banner; no aria-modal","Users can accidentally interact with content behind banner","Privacy regulation UX gap","Add focus trap + aria-modal=true",S,Open
UX-220,P2,Accessibility,channel-info.tsx,"apps/web/components/chat/channel-info.tsx","Tab bar missing role=tablist, aria-selected","Tab buttons are plain buttons without tab semantics","Screen readers don't recognize tab navigation pattern","Reduced tab navigation accessibility","Add role=tablist, role=tab, aria-selected to tab pattern",S,Open
UX-221,P2,State Design,channel-info.tsx,"apps/web/components/chat/channel-info.tsx","Empty states lack actionable buttons","No members yet but no Invite Members button; no pinned messages but no guidance","Users don't know how to populate empty sections","Reduced engagement with channel features","Add Invite members button to empty members; add Pin a message hint for empty pins",S,Open
UX-222,P2,Data Display,search-bar.tsx + search/page.tsx,"apps/web/components/chat/search-bar.tsx + apps/web/app/(workspace)/[workspaceSlug]/search/page.tsx","highlightText function duplicated in 2 files with different styling","Two identical functions: one with yellow bg, one with CSS var bg","Inconsistent search highlighting across surfaces","Visual inconsistency erodes design system trust","Extract highlightText to shared utility with configurable class",S,Open
UX-223,P2,Data Display,admin/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/admin/page.tsx","Pagination UI duplicated across 3 admin tabs","Identical Previous/Page X of Y/Next code in renderUsers, renderChannels, renderAuditLog","Code duplication increases maintenance burden","Technical debt slows future admin changes","Extract shared Pagination component",M,Open
UX-224,P2,Mobile UX,admin/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/admin/page.tsx","Stat grid uses grid-cols-2 on mobile — very narrow cells","Stat cards in overview tab forced into 2-column on <640px","Metrics unreadable on small screens","Reduced admin utility on phones","Use grid-cols-1 sm:grid-cols-2",XS,Open
UX-225,P2,Performance,message-list.tsx,"apps/web/components/chat/message-list.tsx","30-frame requestAnimationFrame loop for initial scroll","useEffect with 30-frame rAF counter before scrollToIndex","Potential jank on low-end devices during initial load","Reduced perceived performance on older devices","Replace with single scrollToIndex with align:end after measurement effect settles",S,Open
UX-226,P2,Design System,globals.css + packages/ui/src/styles.css,"apps/web/app/globals.css, packages/ui/src/styles.css","Two parallel CSS variable systems — Mattermost vars and design token vars","Both --button-bg (Mattermost) and --color-button-primary-bg (design token) actively used","Confusion about which variables to use — inconsistency risk","Design system fragmentation slows development","Document both layers, migrate toward single convention over time",XL,Open
UX-227,P2,Error Handling,Multiple files,"chat-view.tsx, context-menu.tsx, quick-switcher.tsx, thread-panel.tsx","console.warn used instead of user-facing toast in 5+ catch blocks","catch blocks in chat-view, context-menu, quick-switcher, thread-panel use console.warn","Users unaware of background failures","Silent errors erode user trust","Replace console.warn with toast.error() or appropriate user feedback",M,Open
UX-228,P2,Theme,globals.css,"apps/web/app/globals.css","Dark mode --text-secondary hardcoded rgba instead of using alpha variable","html.dark definition: --text-secondary: rgba(255,255,255,0.64) instead of deriving from --text-secondary-alpha","Theme token system inconsistency — harder to maintain theming","Theming maintenance debt","Derive dark mode --text-secondary from --text-secondary-alpha token",S,Open
UX-301,P3,Forms,settings/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/settings/page.tsx","Loading... text instead of Skeleton component","Raw Loading... string in trigger words section","Minor visual inconsistency","Slightly less polished settings UX","Replace with <Skeleton />",XS,Open
UX-302,P3,Forms,settings/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/settings/page.tsx","Auto-responder textarea lacks character counter","maxLength=500 set but no indicator of remaining chars","Users don't know how long their message is","Minor usability gap","Add 42/500 character counter",XS,Open
UX-303,P3,Forms,settings/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/settings/page.tsx","No debounce on preference saves — rapid toggles hammer API","Each toggle change immediately calls savePreferences()","Rapid clicking could trigger multiple API calls","Minor performance concern on slow networks","Add 300ms debounce on preference saves",XS,Open
UX-304,P3,Forms,login-form.tsx,"apps/web/components/auth/login-form.tsx","No password strength indicator on sign-up","No min length/complexity requirements shown to user","Users may create weak passwords","Security trust concern","Show password requirements (min 8 chars, etc.) in sign-up mode",S,Open
UX-305,P3,Forms,login-form.tsx,"apps/web/components/auth/login-form.tsx","No Forgot password? link","No password reset flow accessible from the form","Users who forget password have no recovery path from login page","Support burden increases","Add Forgot password? link that triggers password reset flow",S,Open
UX-306,P3,Accessibility,login-form.tsx,"apps/web/components/auth/login-form.tsx","No aria-live on status container","Status changes (sent/signedup) rendered without live region","Screen readers don't announce auth status changes","Reduced auth accessibility","Add aria-live=polite aria-atomic=true to status container",XS,Open
UX-307,P3,Interaction,notification-preferences-modal.tsx,"apps/web/components/chat/notification-preferences-modal.tsx","No unsaved-changes detection on Escape","Changes lost silently when user presses Escape or clicks outside","Users may accidentally lose preference changes","Minor but annoying data loss","Add unsaved-changes warning before closing if state differs",S,Open
UX-308,P3,Search,search/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/search/page.tsx","No validation that dateFrom <= dateTo","Both date fields accept independently — no range validation","Users can submit impossible date ranges","Minor search usability issue","Disable search or show warning when dateFrom > dateTo",XS,Open
UX-309,P3,Search,search-bar.tsx,"apps/web/components/chat/search-bar.tsx","Hardcoded year 2025 in operator hint","Operator hint example: on:2025-01-15","Example shows stale year","Minor professionalism issue","Use new Date().getFullYear() for dynamic year",XS,Open
UX-310,P3,Interaction,search-bar.tsx,"apps/web/components/chat/search-bar.tsx","Clear all recent searches has no confirmation","One click destroys all history with no undo","Users may accidentally clear search history","Minor data loss concern","Add Are you sure? confirmation before clearing recent searches",XS,Open
UX-311,P3,Interaction,admin/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/admin/page.tsx","Export buttons lack loading spinner","downloadExport() fires without disabled state or spinner","Users see no feedback during export fetch","Minor admin polish issue","Add disabled state + spinner during export fetch",XS,Open
UX-312,P3,Admin UX,admin/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/admin/page.tsx","No error boundary per tab","If one tab's API call throws, entire admin panel errors","Isolated tab failure breaks whole page","Resilience concern","Wrap each tab content in React error boundary",M,Open
UX-313,P3,i18n,admin/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/admin/page.tsx","document.title hardcoded","document.title = Admin - Chat","Title not localized","Minor i18n completeness issue","Use t() for page title",XS,Open
UX-314,P3,Design System,admin/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/admin/page.tsx","Inline StatusBadge and Card components","Helper components defined locally instead of imported from @chat/ui","Duplicated component implementations","Design system drift","Replace with shared StatusBadge from @chat/ui",S,Open
UX-315,P3,Design System,settings/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/settings/page.tsx","ToggleRow inline component not shared","896-936 lines: inline ToggleRow could be reusable","Duplicated pattern if used elsewhere","Design system debt","Extract ToggleRow to shared component",S,Open
UX-316,P3,Admin UX,admin/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/admin/page.tsx","CSV parser uses line.split(,) — breaks on quoted fields","line.split(,) on line 252 — no handling for commas in data","CSV import fails on valid CSV with quoted commas","Data import reliability issue","Use proper CSV parser library or write quote-aware parser",M,Open
UX-317,P3,Performance,message-list.tsx,"apps/web/components/chat/message-list.tsx","30-frame RAF loop in useEffect for scroll","requestAnimationFrame loop counts to 30 before scrolling","Wasteful pattern — measurements settle faster","Minor performance overhead","Replace with single scrollToIndex call after useEffect measurement",S,Open
UX-318,P3,Design System,message-list.tsx,"apps/web/components/chat/message-list.tsx","Inline styles on pull-to-refresh indicator","Pull to refresh indicator uses inline style instead of Tailwind utility","Style inconsistency","Minor design system compliance issue","Convert to Tailwind utility classes",XS,Open
UX-319,P3,Code Quality,app-sidebar.tsx,"apps/web/components/workspace/app-sidebar.tsx","Dead CSS property: gridArea: team-sidebar","gridArea: team-sidebar set but parent uses flexbox not CSS grid","Dead code adds confusion","Minor readability debt","Remove dead CSS property",XS,Open
UX-320,P3,Code Quality,app-sidebar.tsx,"apps/web/components/workspace/app-sidebar.tsx","Encoding artifact at line 581 — âœ“ should be checkmark","Unicode encoding issue renders checkmark as âœ“","Visible display artifact in team menu","Professionalism concern","Fix encoding to proper checkmark character (âœ“ → âœ“ or use Icon component)",XS,Open
UX-321,P3,Design System,globals.css,"apps/web/app/globals.css","--border-default includes solid 1px — not composable","--border-default: solid 1px var(--border-default-color) prevents using border-top","Cannot use border-top with the default variable","Minor theming limitation","Split into --border-width-default, --border-style-default, --border-color-default",S,Open
UX-322,P3,Design System,packages/ui/src/tokens/,packages/ui/src/tokens/spacing.ts,"Density modes (comfortable/compact/spacious) defined but unused","Three density modes in spacing.ts but no implementation","Users have no density controls despite tokens existing","Unused design tokens bloat codebase","Either implement density controls or remove unused definitions",M,Open
